id,shop_name,customer since,orders,num_order
897,Zooveo,1,2852927,17
898,Pixonyx,1,3459244,14
899,Meembee,2,4587469,17
900,Shuffledrive,1,4570672,20
901,Kazu,1,917732,10
902,Aivee,3,2429672,10
903,Tanoodle,2,4181298,14
904,Photolist,3,3713729,4
905,Browsebug,3,50098,10
906,Zoomcast,3,4834349,2
907,Gabcube,3,3464142,9
908,Gigazoom,3,3092559,19
909,Zoombox,3,306466,12
910,Gigaclub,2,3812503,15
911,Shufflebeat,2,450647,6
912,Voonte,3,3629841,15
913,Flashpoint,3,307633,18
914,Kaymbo,1,2661289,13
915,Meetz,2,4294789,2
916,Pixoboo,1,562555,5
917,Babbleopia,1,699169,19
918,Voonix,3,1587334,3
919,Tekfly,1,313445,11
920,Zazio,2,1615091,2
921,Edgeclub,2,4223222,8
922,Dabfeed,2,2633499,16
923,Janyx,3,2902211,10
924,Skibox,2,1267854,6
925,Gigabox,2,1065822,10
926,Muxo,2,1489199,2
927,Skyvu,2,1996752,13
928,Muxo,3,4511588,1
929,Katz,3,3908423,13
930,Dabvine,2,2892656,1
931,Thoughtbridge,2,3222298,9
932,Aivee,2,2868536,5
933,Ooba,1,443707,2
934,Linkbridge,3,591044,5
935,Zooxo,2,3067238,14
936,Tanoodle,1,3610631,3
937,Zava,2,365908,16
938,Zoomdog,2,1753356,3
939,Oodoo,2,180408,5
940,Yambee,1,4946878,12
941,Yamia,2,802187,20
942,Meetz,1,3695648,10
943,Gabvine,3,1359826,1
944,Dynabox,1,3212399,7
945,Gabtype,2,3643322,2
946,Skidoo,1,4297007,9
947,Thoughtworks,3,770675,18
948,Photolist,2,467653,1
949,Wordpedia,1,3904856,5
950,Pixope,3,3574570,11
951,Eimbee,1,1155112,13
952,Youtags,2,644992,9
953,Youtags,3,4920141,8
954,Avamba,1,488384,15
955,Leenti,1,4290578,5
956,Oyope,2,3452216,20
957,Jabbertype,3,330278,3
958,Tazz,1,2379308,16
959,Geba,1,1067463,7
960,Jaxnation,3,4791083,5
961,Yambee,3,1491151,12
962,Devshare,2,2091061,13
963,Vitz,1,3119962,16
964,Kwinu,3,3406015,20
965,Plajo,3,4685697,4
966,Zoombox,2,1695004,5
967,Zoomlounge,2,4411128,1
968,Oozz,1,705863,4
969,Devshare,1,3363045,15
970,Realpoint,2,522415,1
971,Yombu,2,267511,15
972,Centidel,3,3013027,18
973,Layo,1,2914067,9
974,Twitterworks,1,1040149,8
975,Edgeify,2,2229902,1
976,Browsebug,1,4180183,9
977,Quimba,1,2055518,7
978,Thoughtmix,1,4744995,13
979,Topicstorm,3,4172432,9
980,Avavee,1,1264131,17
981,Riffpath,2,982660,5
982,Brainlounge,1,4565838,12
983,Innojam,1,470222,17
984,Jazzy,3,743923,2
985,Chatterbridge,2,1941555,19
986,Twitterworks,1,699543,14
987,Riffwire,1,704290,14
988,Eimbee,1,601313,4
989,Browsedrive,1,4141440,17
990,Camido,1,1010424,3
991,Jatri,3,1470289,19
992,Fiveclub,1,3813814,19
993,Lazz,3,4459348,15
994,Gigazoom,3,4185085,18
995,Eadel,3,2117518,17
996,Voonyx,1,4557901,13
997,Meembee,3,565103,20
998,Mydo,3,2900588,10
999,Edgeclub,2,2535197,19
1000,Skibox,2,2737182,6
